pos_single;pos_context;base_single;base_context;orth_single;orth_context;number_single;number_context;case_single;case_context;gender_single;gender_context;rel_tok_distance;pos_between;phrase_type;sumo_concept;synset_id;sumo_concept_bs;synset_id_bs;pos_context_bs;base_context_bs;orth_context_bs;number_context_bs;case_context_bs;gender_context_bs;pos_context_bow;base_context_bow;orth_context_bow;number_context_bow;case_context_bow;gender_context_bow;synset_id_bow;first_predicate;second_predicate;relation_name
"ppas;subst";"interppraetadjsubstadv;prepsubstsubstadjsubst";"uchwalić;kongres";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";"uchwaloną;Kongres";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"sg;sg";"_sgsgsg_;_sgplsgsg";"acc;acc";"__gengen_;accaccaccaccacc";"f;m3";"_m1m3m3_;_m3nff";2;prep;chunk_np;NONE_subsumed:Government;"70012;33727";NONE_subsumed:Government;"70012;33727";"interppraetadjsubstadv;prepsubstsubstadjsubst";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"_sgsgsg_;_sgplsgsg";"__gengen_;accaccaccaccacc";"_m1m3m3_;_m3nff";"interppraetadjsubstadv;prepsubstsubstadjsubst";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"_sgsgsg_;_sgplsgsg";"__gengen_;accaccaccaccacc";"_m1m3m3_;_m3nff";"70012;33727";"0;0";"0;0";"actor;agent"
"ppas;subst";"interppraetadjsubstadv;prepsubstsubstadjsubst";"uchwalić;ustawa";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";"uchwaloną;ustawę";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"sg;sg";"_sgsgsg_;_sgplsgsg";"acc;acc";"__gengen_;accaccaccaccacc";"f;f";"_m1m3m3_;_m3nff";5;prepsubstsubstadj;chunk_np;NONE_subsumed:Certificate;"70012;2693";NONE_subsumed:Certificate;"70012;2693";"interppraetadjsubstadv;prepsubstsubstadjsubst";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"_sgsgsg_;_sgplsgsg";"__gengen_;accaccaccaccacc";"_m1m3m3_;_m3nff";"interppraetadjsubstadv;prepsubstsubstadjsubst";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"_sgsgsg_;_sgplsgsg";"__gengen_;accaccaccaccacc";"_m1m3m3_;_m3nff";"70012;2693";"0;0";"0;0";"undergoer;patient"
"subst;adj";"ppasprepsubstsubstadj;interpprepadjsubstsubst";"ustawa;nadzwyczajny";"uchwalić;przez;kongres;USA;nadzwyczajny;,;dzięki;który;sprawa;terri";"ustawę;nadzwyczajną";"uchwaloną;przez;Kongres;USA;nadzwyczajną;,;dzięki;której;sprawa;Terri";"sg;sg";"sg_sgplsg;__sgsgsg";"acc;acc";"accaccaccaccacc;_datdatnomnom";"f;f";"f_m3nf;__fff";1;;chunk_np;subsumed:Certificate_subsumed:SubjectiveWeakPositiveAttribute;"2693;3165";subsumed:Certificate_subsumed:SubjectiveWeakPositiveAttribute;"2693;3165";"ppasprepsubstsubstadj;interpprepadjsubstsubst";"uchwalić;przez;kongres;USA;nadzwyczajny;,;dzięki;który;sprawa;terri";"uchwaloną;przez;Kongres;USA;nadzwyczajną;,;dzięki;której;sprawa;Terri";"sg_sgplsg;__sgsgsg";"accaccaccaccacc;_datdatnomnom";"f_m3nf;__fff";"ppasprepsubstsubstadj;interpprepadjsubstsubst";"uchwalić;przez;kongres;USA;nadzwyczajny;,;dzięki;który;sprawa;terri";"uchwaloną;przez;Kongres;USA;nadzwyczajną;,;dzięki;której;sprawa;Terri";"sg_sgplsg;__sgsgsg";"accaccaccaccacc;_datdatnomnom";"f_m3nf;__fff";"2693;3165";"0;0";"0;0";attribute
"pact;subst";"NONENONENONENONEsubst;substsubstsubstimpsprep";"podtrzymywać;aparatura";"NONE;NONE;NONE;NONE;aparatura;życie;terri;schiavo;odłączyć;w";"podtrzymującą;Aparaturę";"NONE;NONE;NONE;NONE;Aparaturę;życie;Terri;Schiavo;odłączono;w";"sg;sg";"sg;sgsgsg__";"acc;acc";"acc;accgengen_acc";"f;f";"f;nnn__";1;;chunk_np;NONE_subsumed:Device;"2391;10696";NONE_subsumed:Device;"2391;10696";"NONENONENONENONEsubst;substsubstsubstimpsprep";"NONE;NONE;NONE;NONE;aparatura;życie;terri;schiavo;odłączyć;w";"NONE;NONE;NONE;NONE;Aparaturę;życie;Terri;Schiavo;odłączono;w";"sg;sgsgsg__";"acc;accgengen_acc";"f;nnn__";"NONENONENONENONEsubst;substsubstsubstimpsprep";"NONE;NONE;NONE;NONE;aparatura;życie;terri;schiavo;odłączyć;w";"NONE;NONE;NONE;NONE;Aparaturę;życie;Terri;Schiavo;odłączono;w";"sg;sgsgsg__";"acc;accgengen_acc";"f;nnn__";"2391;10696";"0;0";"0;0";"actor;cause"
"pact;subst";"NONENONENONENONEsubst;substsubstsubstimpsprep";"podtrzymywać;życie";"NONE;NONE;NONE;NONE;aparatura;życie;terri;schiavo;odłączyć;w";"podtrzymującą;życie";"NONE;NONE;NONE;NONE;Aparaturę;życie;Terri;Schiavo;odłączono;w";"sg;sg";"sg;sgsgsg__";"acc;acc";"acc;accgengen_acc";"f;n";"f;nnn__";1;;chunk_np;NONE_subsumed:Entity;"2391;81548";NONE_subsumed:Entity;"2391;81548";"NONENONENONENONEsubst;substsubstsubstimpsprep";"NONE;NONE;NONE;NONE;aparatura;życie;terri;schiavo;odłączyć;w";"NONE;NONE;NONE;NONE;Aparaturę;życie;Terri;Schiavo;odłączono;w";"sg;sgsgsg__";"acc;accgengen_acc";"f;nnn__";"NONENONENONENONEsubst;substsubstsubstimpsprep";"NONE;NONE;NONE;NONE;aparatura;życie;terri;schiavo;odłączyć;w";"NONE;NONE;NONE;NONE;Aparaturę;życie;Terri;Schiavo;odłączono;w";"sg;sgsgsg__";"acc;accgengen_acc";"f;nnn__";"2391;81548";"0;1";"0;0";undergoer
"subst;subst";"NONENONENONEsubstpact;substsubstimpsprepsubst";"życie;terri";"NONE;NONE;NONE;aparatura;podtrzymywać;terri;schiavo;odłączyć;w;piątek";"życie;Terri";"NONE;NONE;NONE;Aparaturę;podtrzymującą;Terri;Schiavo;odłączono;w;piątek";"sg;sg";"sgsg;sgsg__sg";"acc;gen";"accacc;gengen_accacc";"n;n";"ff;nn__m3";1;;chunk_np;subsumed:Entity_NONE;"81548;NONE";subsumed:Entity_NONE;"81548;NONE";"NONENONENONEsubstpact;substsubstimpsprepsubst";"NONE;NONE;NONE;aparatura;podtrzymywać;terri;schiavo;odłączyć;w;piątek";"NONE;NONE;NONE;Aparaturę;podtrzymującą;Terri;Schiavo;odłączono;w;piątek";"sgsg;sgsg__sg";"accacc;gengen_accacc";"ff;nn__m3";"NONENONENONEsubstpact;substsubstimpsprepsubst";"NONE;NONE;NONE;aparatura;podtrzymywać;terri;schiavo;odłączyć;w;piątek";"NONE;NONE;NONE;Aparaturę;podtrzymującą;Terri;Schiavo;odłączono;w;piątek";"sgsg;sgsg__sg";"accacc;gengen_accacc";"ff;nn__m3";"81548;NONE";"1;0";"0;0";undergoer
"subst;subst";"prepsubstsubstadvprep;substadjprepsubstinterp";"wyrok;sąd";"w;piątek;wieczor;zgodnie;z;sąd;stanowy;na;Floryda;.";"wyrokiem;sądu";"w;piątek;wieczorem;zgodnie;z;sądu;stanowego;na;Florydzie;.";"sg;sg";"_sgsg__;sgsg_sg_";"inst;gen";"accaccinst_inst;gengenlocloc_";"m3;m3";"_m3m3__;m3m3_f_";1;;chunk_np;subsumed:Punishing_subsumed:Organization;"10809;3007";subsumed:Punishing_subsumed:Organization;"10809;3007";"prepsubstsubstadvprep;substadjprepsubstinterp";"w;piątek;wieczor;zgodnie;z;sąd;stanowy;na;Floryda;.";"w;piątek;wieczorem;zgodnie;z;sądu;stanowego;na;Florydzie;.";"_sgsg__;sgsg_sg_";"accaccinst_inst;gengenlocloc_";"_m3m3__;m3m3_f_";"prepsubstsubstadvprep;substadjprepsubstinterp";"w;piątek;wieczor;zgodnie;z;sąd;stanowy;na;Floryda;.";"w;piątek;wieczorem;zgodnie;z;sądu;stanowego;na;Florydzie;.";"_sgsg__;sgsg_sg_";"accaccinst_inst;gengenlocloc_";"_m3m3__;m3m3_f_";"10809;3007";"0;0";"0;1";"actor;agent"
"ppas;subst";"interppraetadjsubstadv;prepsubstsubstadjsubst";"uchwalić;kongres";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";"uchwaloną;Kongres";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"sg;sg";"_sgsgsg_;_sgplsgsg";"acc;acc";"__gengen_;accaccaccaccacc";"f;m3";"_m1m3m3_;_m3nff";2;prep;chunk_np;NONE_subsumed:Government;"70012;33727";NONE_subsumed:Government;"70012;33727";"interppraetadjsubstadv;prepsubstsubstadjsubst";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"_sgsgsg_;_sgplsgsg";"__gengen_;accaccaccaccacc";"_m1m3m3_;_m3nff";"interppraetadjsubstadv;prepsubstsubstadjsubst";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"_sgsgsg_;_sgplsgsg";"__gengen_;accaccaccaccacc";"_m1m3m3_;_m3nff";"70012;33727";"0;0";"0;0";"actor;agent"
"pact;subst";"NONENONENONENONEsubst;substsubstsubstimpsprep";"podtrzymywać;aparatura";"NONE;NONE;NONE;NONE;aparatura;życie;terri;schiavo;odłączyć;w";"podtrzymującą;Aparaturę";"NONE;NONE;NONE;NONE;Aparaturę;życie;Terri;Schiavo;odłączono;w";"sg;sg";"sg;sgsgsg__";"acc;acc";"acc;accgengen_acc";"f;f";"f;nnn__";1;;chunk_np;NONE_subsumed:Device;"2391;10696";NONE_subsumed:Device;"2391;10696";"NONENONENONENONEsubst;substsubstsubstimpsprep";"NONE;NONE;NONE;NONE;aparatura;życie;terri;schiavo;odłączyć;w";"NONE;NONE;NONE;NONE;Aparaturę;życie;Terri;Schiavo;odłączono;w";"sg;sgsgsg__";"acc;accgengen_acc";"f;nnn__";"NONENONENONENONEsubst;substsubstsubstimpsprep";"NONE;NONE;NONE;NONE;aparatura;życie;terri;schiavo;odłączyć;w";"NONE;NONE;NONE;NONE;Aparaturę;życie;Terri;Schiavo;odłączono;w";"sg;sgsgsg__";"acc;accgengen_acc";"f;nnn__";"2391;10696";"0;0";"0;0";"actor;cause"
"subst;subst";"prepsubstsubstadvprep;substadjprepsubstinterp";"wyrok;sąd";"w;piątek;wieczor;zgodnie;z;sąd;stanowy;na;Floryda;.";"wyrokiem;sądu";"w;piątek;wieczorem;zgodnie;z;sądu;stanowego;na;Florydzie;.";"sg;sg";"_sgsg__;sgsg_sg_";"inst;gen";"accaccinst_inst;gengenlocloc_";"m3;m3";"_m3m3__;m3m3_f_";1;;chunk_np;subsumed:Punishing_subsumed:Organization;"10809;3007";subsumed:Punishing_subsumed:Organization;"10809;3007";"prepsubstsubstadvprep;substadjprepsubstinterp";"w;piątek;wieczor;zgodnie;z;sąd;stanowy;na;Floryda;.";"w;piątek;wieczorem;zgodnie;z;sądu;stanowego;na;Florydzie;.";"_sgsg__;sgsg_sg_";"accaccinst_inst;gengenlocloc_";"_m3m3__;m3m3_f_";"prepsubstsubstadvprep;substadjprepsubstinterp";"w;piątek;wieczor;zgodnie;z;sąd;stanowy;na;Floryda;.";"w;piątek;wieczorem;zgodnie;z;sądu;stanowego;na;Florydzie;.";"_sgsg__;sgsg_sg_";"accaccinst_inst;gengenlocloc_";"_m3m3__;m3m3_f_";"10809;3007";"0;0";"0;1";"actor;agent"
