lemma;variant;domain;lemma;variant;domain
analiza;1;czy;analizować;2;cumy
debiut;2;zdarz;debiutować;1;sp
deklaracja;1;por;deklarować;1;cpor
desperacja;1;czuj;desperować;1;cczuj
dodawanie;2;por;dodawać;2;cumy
drzemka;1;st;drzemać;1;cst
eksperyment;1;zdarz;eksperymentować;2;cumy
eksplozja;1;zdarz;eksplodować;1;zmn
gorączka;1;cech;gorączkować;1;cst
hodowla;1;umy;hodować;1;cwyt
inauguracja;1;czas;inaugurować;1;zmn
interwencja;1;zdarz;interweniować;1;sp
komunikacja;1;por;komunikować się;1;sp
koncentracja;2;grp;koncentrować;2;zmn
kwalifikacja;1;umy;kwalifikować;3;cumy
lokalizacja;1;msc;lokalizować;2;ruch
modły;1;zdarz;zanosić modły;1;cpor
mutacja;2;prc;mutować;1;zmn
nakaz;1;por;nakazać;1;cpor
nienawiść;1;czuj;nienawidzić;1;cczuj
nieprzyzwoitość;1;cech;nieprzyzwoity;2;jak
obawa;1;czuj;obawiać się;1;cczuj
obrady;1;por;obradować;1;cpor
oczarowanie;2;czuj;oczarować;1;cczuj
odmowa;1;por;odmawiać;1;cpor
osiedlenie się;1;czy;osiedlić się;1;ruch
osłona;3;czy;osłaniać;1;dtk
osłuchiwanie;1;czy;osłuchiwać;1;hig
ożenek;1;zdarz;ożenić się;1;zmn
powątpiewanie;2;umy;powątpiewać;1;cumy
przeciwstawienie;3;cech;przeciwstawić;2;cumy
przegląd;1;zdarz;przeglądać;2;pst
przepływ;1;zdarz;przepływać;1;ruch
przewidywanie;3;umy;przewidywać;2;cumy
rozdział;2;zdarz;rozdzielić;6;cumy
rozdzielenie;6;zdarz;rozdzielić;6;cumy
rozpacz;1;czuj;rozpaczać;1;cczuj
rozwój;1;zdarz;rozwijać;2;zmn
rywalizacja;1;zdarz;rywalizować;1;wal
sąd;4;zdarz;sądzić;2;sp
segregacja;2;umy;segregować;1;dtk
ślubowanie;1;por;ślubować;1;sp
sprzeciw;1;por;sprzeciwiać się;1;cpor
stanie;4;st;stać;5;cst
stanie;4;st;stać;2;cst
tańce;1;zdarz;tańczyć;1;ruch
twórczość;2;umy;tworzyć;1;cumy
ubytek;1;zdarz;ubyć;1;zmn
umieranie;1;st;umierać;1;zmn
umieszczanie;1;czy;umieszczać;1;ruch
uprawa;2;czy;uprawiać;1;cwyt
wędrówka;1;zdarz;wędrować;1;ruch
wegetacja;2;st;wegetować;1;cst
