lemma;variant;domain
′;1;il
″;1;il
°;1;il
°C;1;il
°F;1;il
℥;1;il
$;1;il
$;2;il
$;3;pos
$;4;pos
$;5;pos
$;6;pos
$;7;pos
$;8;pos
$;9;pos
$;10;pos
$;11;pos
$L;1;pos
$T;1;pos
$T;2;pos
£;1;pos
1/2;1;il
1/3;1;il
1/4;1;il
180°;1;il
3D;1;wytw
4-hydroksyfenol;1;sbst
9,10-dioksoantracen;1;sbst
A;1;sbst
A;2;cech
A;3;il
a;4;por
Å;5;il
A;6;umy
a cappella;1;por
a-moll;1;umy
A0;1;cech
A1;1;cech
A2;1;cech
A3;1;cech
A4;1;cech
A5;1;cech
A6;1;cech
aak;1;wytw
aalen;1;czas
abA;1;il
abak;1;wytw
abaka;1;wytw
abakan;1;wytw
abakus;1;wytw
abakus;2;wytw
abamper;1;il
abandon;1;czy
abażur;1;wytw
abażurek;1;wytw
abC;1;il
ABC;2;umy
abc;3;umy
abduktor;1;czc
abdykacja;1;zdarz
abdykowanie;1;czy
abecadło;1;por
abecadło;2;umy
aberracja;1;zdarz
aberracja;2;zj
aberracja;3;zj
aberracja chromatyczna;1;zj
aberracja sferyczna;1;zj
abF;1;il
abfarad;1;il
abH;1;il
abhenr;1;il
abiogeneza;1;umy
abisal;1;msc
abisobental;1;msc
Abisynka;1;os
Abisyńczyk;1;os
abiturient;1;os
abiturientka;1;os
abkulomb;1;il
ablacja;1;zj
ablacja;2;zj
ablaktacja;1;czy
ablaktowanie;1;czy
ablegier;1;rsl
ablegierek;1;rsl
ablucja;1;zdarz
ablucja;2;zdarz
abnegacja;1;cech
abnegat;1;os
abnegat;2;os
abnegatka;1;os
abnegatka;2;os
abolicja;1;zdarz
abolicja;2;por
abolicjonista;1;os
abolicjonista;2;os
abolicjonistka;1;os
abolicjonistka;2;os
abolicjonizm;1;umy
abolicjonizm;2;umy
abom;1;il
abominacja;1;czuj
abonament;1;pos
abonament;2;wytw
abonent;1;os
abonentka;1;os
aborcja;1;zdarz
abordaż;1;zdarz
abort;1;prc
Aborygen;1;os
aborygen;2;os
Aborygenka;1;os
abrakadabra;1;cech
abrakadabra;2;por
abrazja;1;prc
abrewiacja;1;por
abrewiatura;1;por
abrogacja;1;czy
abrogowanie;1;czy
ABS;1;wytw
