lemma;domain;distance
Abisyńczyk;os;6
abiturient;os;6
abnegat;os;6
abnegat;os;8
abolicjonista;os;6
abolicjonista;os;7
abonent;os;4
aborygen;os;6
Aborygen;os;6
ABS;os;8
absolutysta;os;8
absolutysta;os;9
absolutyzm;grp;7
absolwent;os;5
abstrakcjonista;os;6
abstrakcjonista;os;9
abstynent;os;5
absztyfikant;os;9
Achaj;os;9
adaptator;os;7
adept;os;6
adept;os;7
adherent;os;5
adidas;os;7
adiunkt;os;9
adiustator;os;9
adiutant;os;8
adiutant przyboczny;os;9
admin;os;7
administrator;os;6
administrator;os;7
administratura;zwz;5
admirał;os;7
admirał;zw;11
admiralicja;grp;6
admirałostwo;grp;4
admirałowa;os;8
admirator;os;7
adorator;os;7
adresat;os;5
advocatus diaboli;os;11
adwentysta;os;10
adwersarz;os;6
adwokacina;os;4
adwokat;os;10
adwokat;os;3
adwokat diabła;os;11
adwokatura;grp;4
adwokat z urzędu;os;4
aeroklub;zwz;4
aerolog;os;9
aeronauta;os;8
afatyk;os;7
aferzysta;os;8
aferzysta;os;9
Affenpinscher;zw;9
Afgan;os;6
afgan;zw;10
Afgańczyk;os;6
afirmant;os;5
afiszer;os;6
aforysta;os;9
Afroamerykanin;os;7
Afrykańczyk;os;5
afrykaner;os;6
Afrykanin;os;5
afrykanista;os;9
aga;zw;9
agama;zw;9
agama błotna;zw;10
agama kołnierzasta;zw;10
agama niebieskogłowa;zw;10
agama perska;zw;10
agama synajska;zw;10
agama wodna;zw;10
agama żaglowa;zw;10
agencja;grp;3
agencja;grp;5
agencja;msc;4
agencja detektywistyczna;grp;6
agencja kosmiczna;grp;4
agencja modelek;grp;6
agencja modelingowa;grp;6
agencja modelingu;grp;6
agencja ochroniarska;grp;6
agencja ochrony;grp;6
agencja prasowa;grp;6
agencja reklamowa;grp;6
agencja towarzyska;msc;5
agenda;msc;4
agens;bhp;0
agent;os;4
agent;os;6
agent;os;7
agent;os;9
agent celny;os;7
agent gospodarczy;zwz;3
agent kontraktowy;os;8
agent nieruchomości;os;5
agent obcego wywiadu;os;8
agent ochrony;os;7
agent ubezpieczeniowy;os;5
agentura;grp;2
agentura;msc;4
agent wpływu;os;9
agent wywiadu;os;7
agitator;os;8
agnat;os;8
agnatka;os;8
agnostyk;os;7
agnostyk;os;8
agrariusz;os;10
agrarysta;os;8
agregat;os;7
agresor;os;6
agresor;zwz;5
agrobiolog;os;7
agrochemik;os;8
agrometeorolog;os;8
agronom;os;7
agrorafineria;msc;8
agrotechnik;os;7
agroturysta;os;6
aguti;zw;9
ajencja;msc;5
ajent;os;4
Ajnur;os;3
akademia;umy;4
akademia talmudyczna;umy;5
akademik;os;6
akademik;os;7
akademik;os;9
akceptant;os;4
akcjonariusz;os;4
akcydensista;os;9
akmeista;os;9
akolita;os;6
akolita;os;8
akompaniator;os;10
akordeonista;os;11
akordowiec;os;6
akowiec;os;8
AK-owiec;os;8
akrobata;os;6
aksolotl;zw;8
aksolotl meksykański;zw;8
aktor;os;4
aktor;os;5
aktor;os;9
aktor charakterystyczny;os;5
aktor komiczny;os;5
aktor serialowy;os;6
aktor telewizyjny;os;5
aktor tragiczny;os;5
aktorzyna;os;5
aktualista;os;8
aktuariusz;os;6
aktyw;grp;2
aktywista;os;6
aktywista;os;8
aktywizator;os;5
akupunkturzysta;os;9
akustyk;os;8
akuszer;os;11
akwaforcista;os;11
akwanauta;os;7
akwarelista;os;10
akwariarz;os;7
akwarysta;os;7
akwizytor;os;7
ala;grp;6
alarmista;os;7
Albańczyk;os;6
albertyn;os;9
albigens;os;7
alchemik;os;7
alcista;os;10
aldrowanda pęcherzykowata;rsl;7
alergik;os;7
alergolog;os;10
alfa i omega;os;4
alfons;os;8
alfonsiak;os;9
algebraista;os;8
Algierczyk;os;6
algolog;os;9
aliant;os;6
aligator;zw;8
aligator amerykański;zw;9
aligator chiński;zw;9
aligator missisipski;zw;9
alimenciarz;os;3
alimenciarz;os;7
alimentator;os;3
alka;zw;9
alkad;os;9
alkantarzysta;os;11
alkoholik;os;5
allozaur;zw;7
alochton;os;6
alopata;os;9
aloza;zw;9
alpaka;zw;9
alpejczyk;os;7
alpinista;os;7
alt;os;11
altannik;zw;8
altannik lśniący;zw;9
altarysta;os;8
altarzysta;os;8
alter ego;os;7
alterglobalista;os;7
altowiolinista;os;10
altowiolista;os;10
altruista;os;8
altysta;os;10
alumn;os;6
alumn;os;7
alwar;os;8
alwarowie;grp;2
amant;os;5
amant;os;9
amator;os;4
amator;os;5
amator;os;6
amator;os;7
amator kwaśnych jabłek;os;7
Amazonka;os;5
amazonka;os;7
amazonka;zw;8
ambasada;msc;7
ambasador;os;6
ambasador nadzwyczajny;os;7
ambasadorowa;os;8
ambasadorstwo;grp;4
ambicjusz;os;6
ambulatorium;msc;4
ambystoma;zw;8
ambystoma krecia;zw;8
ambystoma meksykańska;zw;8
ambystoma meksykańska;zw;9
ambystoma plamista;zw;8
ambystoma tygrysia;zw;8
ambystoma znad Pacyfiku;zw;8
amerykaniec;os;7
Amerykaniec;os;7
Amerykanin;os;5
Amerykanin;os;6
amerykanista;os;8
amfetaminiarz;os;8
amfibia;zw;4
amfiktionia;zwz;3
amfisbena;zw;4
amfisbena;zw;8
amfitrion;os;4
amisz;os;12
amonit;zw;5
amoralista;os;8
amur;zw;9
anabaptysta;os;10
anachoreta;os;7
anakonda;zw;9
analfabeta;os;8
analityk;os;6
analityk;os;8
analityk;os;9
anarchista;os;7
anarchosyndykalista;os;8
anatom;os;8
anatomopatolog;os;9
ancymon;os;6
Andorczyk;os;6
android;wytw;3
androlog;os;10
andrus;os;7
andrychowianin;os;7
anegdociarz;os;9
aneksjonista;grp;6
anemik;os;7
anestezjolog;os;10
angiolog;os;11
Anglik;os;7
anglik;zw;10
anglikanin;os;10
anglista;os;11
anglista;os;9
angloarab;zw;10
anglofil;os;9
anglofob;os;9
Anglosas;os;6
angora;zw;7
angorka;zw;8
anielica;os;8
animalista;os;7
animalista;os;9
animator;os;5
animator;os;6
animator;os;8
animator liturgiczny;os;6
animista;os;7
anioł;os;3
anioł;os;6
anioł morski;zw;8
anioł stróż;os;4
anioł stróż;os;8
ankieter;os;8
ankietowany;os;6
ankylozaur;zw;6
annalista;os;9
anolis;zw;9
anonim;os;7
anorektyk;os;7
ansambl;grp;4
antagonista;os;5
antenat;os;8
antenatka;os;8
antreprener;os;3
antrepryza;zwz;4
antropofag;os;6
antropogeograf;os;8
antropoid;zw;3
antropolog;os;8
antybolszewik;os;7
antychryst;os;3
antychryst;os;7
antychryst;os;9
antyfaszysta;os;6
antyfeminista;os;9
antyglobalista;os;7
antyklerykał;os;6
antykomunista;os;6
antykról;os;8
antykwariat;msc;6
antykwariusz;os;6
antylopa;zw;6
antypapież;os;7
antyrojalista;os;8
antysemita;os;8
antytalent;os;5
antyterrorysta;os;9
antytrynitariusz;os;9
antytrynitarz;os;9
aojd;os;11
aojda;os;11
Apacz;os;7
aparat;grp;3
aparat;os;7
aparatczyk;os;8
apasz;os;8
apatozaur;zw;6
apatryda;os;5
apercepcjonista;os;8
aplikant;os;6
apolita;os;5
apollo;os;8
apologeta;os;6
apologeta;os;9
apologetyk;os;6
apoplektyk;os;7
aporter;zw;8
apostata;os;5
apostoł;os;6
apostoł;os;7
apriorysta;os;8
aprowizator;os;5
apteka;msc;7
aptekarz;os;3
aptekarz;os;6
aptekarzowa;os;8
ara;zw;9
Arab;os;7
arab;zw;10
arabista;os;9
arabka;zw;10
arachnolog;os;9
Aramejczyk;os;8
aranżer;os;8
aranżer;os;9
arat;os;10
arbiter;os;5
arbiter;os;6
arbiter;os;8
arbiter elegantiarum;os;7
archanioł;os;4
archeolog;os;9
archeopteryks;zw;5
archidiakon;os;6
archijerej;os;9
archikatedra;msc;6
archimandryta;os;6
archiprezbiter;os;10
archirej;os;9
architekci;grp;3
architekt;os;8
architekt krajobrazu;os;9
architekt wnętrz;os;9
archiwariusz;os;9
archiwista;os;7
archiwista;os;9
archiwum;msc;3
archont;os;10
archozaur;zw;6
arcybiskup;os;11
arcybiskup gnieźnieński;os;13
arcybractwo;grp;4
arcykapłan;os;7
arcykomtur;os;7
arcyksiążę;os;6
arcyksięstwo;grp;5
arcyksiężna;os;9
arcyłgarz;os;7
arcymistrz;os;8
arcypasterz;os;9
arcywróg;os;7
arendarz;os;3
areopag;grp;4
areopag;zwz;5
aresztant;os;6
aresztowany;os;6
Argentyńczyk;os;6
argonauta;os;7
argonauta;zw;7
arianin;os;10
arianin;os;7
ariergarda;grp;5
arkadia;msc;8
arkebuzer;os;8
arlekin;os;7
arlekin;zw;10
armada;zwz;7
armator;zwz;4
Armeńczyk;os;6
armia;grp;2
armia;grp;5
arminianin;os;10
arogant;os;6
aromaterapeuta;os;9
artel;zwz;4
artretyk;os;7
artyleria;grp;5
artyleria przedogniowa;grp;6
artylerzysta;os;7
artysta;os;6
artysta;os;7
