lemma;variant;domain;lemma;variant;domain
analiza;1;2;analizować;2;29
debiut;2;8;debiutować;1;39
deklaracja;1;7;deklarować;1;30
desperacja;1;9;desperować;1;35
dodawanie;2;7;dodawać;2;29
drzemka;1;23;drzemać;1;40
eksperyment;1;8;eksperymentować;2;29
eksplozja;1;8;eksplodować;1;28
gorączka;1;4;gorączkować;1;40
hodowla;1;6;hodować;1;34
inauguracja;1;25;inaugurować;1;28
interwencja;1;8;interweniować;1;39
komunikacja;1;7;komunikować się;1;39
koncentracja;2;11;koncentrować;2;28
kwalifikacja;1;6;kwalifikować;3;29
lokalizacja;1;12;lokalizować;2;36
modły;1;8;zanosić modły;1;30
mutacja;2;19;mutować;1;28
nakaz;1;7;nakazać;1;30
nienawiść;1;9;nienawidzić;1;35
nieprzyzwoitość;1;4;nieprzyzwoity;2;42
obawa;1;9;obawiać się;1;35
obrady;1;7;obradować;1;30
oczarowanie;2;9;oczarować;1;35
odmowa;1;7;odmawiać;1;30
osiedlenie się;1;2;osiedlić się;1;36
osłona;3;2;osłaniać;1;33
osłuchiwanie;1;2;osłuchiwać;1;27
ożenek;1;8;ożenić się;1;28
powątpiewanie;2;6;powątpiewać;1;29
przeciwstawienie;3;4;przeciwstawić;2;29
przegląd;1;8;przeglądać;2;37
przepływ;1;8;przepływać;1;36
przewidywanie;3;6;przewidywać;2;29
rozdział;2;8;rozdzielić;6;29
rozdzielenie;6;8;rozdzielić;6;29
rozpacz;1;9;rozpaczać;1;35
rozwój;1;8;rozwijać;2;28
rywalizacja;1;8;rywalizować;1;31
sąd;4;8;sądzić;2;39
segregacja;2;6;segregować;1;33
ślubowanie;1;7;ślubować;1;39
sprzeciw;1;7;sprzeciwiać się;1;30
stanie;4;23;stać;5;40
stanie;4;23;stać;2;40
tańce;1;8;tańczyć;1;36
twórczość;2;6;tworzyć;1;29
ubytek;1;8;ubyć;1;28
umieranie;1;23;umierać;1;28
umieszczanie;1;2;umieszczać;1;36
uprawa;2;2;uprawiać;1;34
wędrówka;1;8;wędrować;1;36
wegetacja;2;23;wegetować;1;40
wiedza;2;4;wiedzieć;1;29
współzawodnictwo;1;8;współzawodniczyć;1;31
wyczerpanie;2;9;wyczerpać;1;35
wyjazd;1;8;wyjechać;1;36
wyróżnianie;2;9;wyróżniać;2;39
wzrost;3;19;wzrastać;4;28
zabawa;1;8;zabawić się;1;39
zadumanie;1;4;zadumać się;1;29
zadziwienie;2;9;zadziwić się;1;35
zamążpójście;1;8;pójść za mąż;1;39
zamyślenie;2;23;zamyślić się;1;29
załamanie;3;23;załamać się;2;35
zdumienie;2;9;zdumieć się;1;35
zdziwienie;2;9;zdziwić się;1;35
zgromadzenie;3;8;zgromadzić;3;38
zmęczenie;3;9;zmęczyć;2;35
zróżnicowanie;2;8;zróżnicować;1;29
stłoczenie;2;23;stłoczyć;1;36
działanie;3;8;działać;2;39
narodziny;3;8;narodzić się;2;28
wstąpienie w związek małżeński;1;8;wstąpić w związek małżeński;1;39
poczęstunek;1;8;poczęstować;2;32
przemowa;2;8;przemawiać;4;30
rozdrażnienie;3;9;rozdrażniać;2;39
oczekiwanie;3;9;oczekiwać;2;39
romans;2;9;romansować;1;39
zakończenie;1;8;zakończyć;1;28
diagnoza;1;7;diagnozować;1;30
dezinformowanie;1;2;dezinformować;1;39
rekomendacja;1;7;rekomendować;1;30
napomknięcie;2;7;napomykać;1;30
obniżka;1;18;obniżać;1;28
wzrost;1;8;wzrastać;3;28
argumentacja;1;2;argumentować;1;30
imitacja;2;2;imitować;1;40
namysł;1;6;namyślać się;1;29
słuchanie;2;6;słuchać;1;37
badanie;1;2;badać;1;33
dośrodkowanie;2;8;dośrodkowywać;1;36
kategoryzacja;1;6;kategoryzować;1;29
klasyfikacja;1;6;klasyfikować;2;29
konstrukcja;3;2;konstruować;1;34
mowa;4;7;mówić;2;30
myślenie;5;6;myśleć;3;29
myślenie;1;6;myśleć;1;29
pożądanie;3;9;pożądać;2;35
protest;1;7;protestować;1;30
przeznaczenie;3;13;przeznaczyć;2;39
wschód;1;19;wschodzić;3;28
zapewnienie;1;7;zapewnić;1;30
przesłuchanie;3;2;przesłuchiwać;3;30
blokada;3;3;blokować;3;34
blokada;2;8;blokować;5;39
bunt;1;7;buntować się;2;29
eksmisja;1;2;eksmitować;1;39
eksport;1;18;eksportować;1;38
formułowanie;2;6;formułować;1;30
ingerencja;1;8;ingerować;1;39
konsultacja;1;7;konsultować;1;30
konsumpcja;2;2;konsumować;1;32
obniżanie;1;18;obniżać;1;28
odrzucenie;1;7;odrzucić;1;30
oglądanie;1;6;oglądać;1;37
palenie;2;23;palić;2;33
rozgałęzienie;1;12;rozgałęziać się;1;28
rozwidlenie;1;12;rozwidlać się;1;28
amortyzacja;2;2;amortyzować;1;28
ocieplenie;1;8;ocieplić;1;28
racjonalizacja;1;8;racjonalizować;2;39
racjonalizacja;2;6;racjonalizować;3;29
serw;1;2;serwować;1;36
utylizacja;1;2;utylizować;1;28
rozstrój;2;8;rozstroić;3;28
rozstrój;1;19;rozstroić;2;35
amputacja;1;8;amputować;1;33
wylew;2;16;wylewać;1;40
agitacja;1;8;agitować;1;39
cenzura;5;26;cenzurować;2;39
defraudacja;1;2;defraudować;1;38
deportacja;1;2;deportować;2;39
dewastacja;2;2;dewastować;1;28
dyskryminacja;1;23;dyskryminować;1;39
eksterminacja;1;8;eksterminować;1;28
atak;1;8;atakować;1;31
najazd;1;8;najechać;1;31
napad;1;8;napadać;1;31
przemyt;1;2;przemycać;1;39
prześladowanie;2;23;prześladować;1;39
bunt;2;8;buntować się;1;39
rozbój;1;8;rozbić;9;39
napad;4;7;napadać;2;30
włamanie;1;8;włamać się;1;36
spowodowanie śmierci;1;2;spowodować śmierć;1;28
napaść;2;7;napaść;2;30
prowokacja;1;8;prowokować;1;39
granie;2;7;grać;1;33
paplanina;1;7;paplać;1;30
rehabilitacja;1;2;rehabilitować;1;33
rehabilitacja;3;7;rehabilitować;2;39
dokończenie;1;8;dokończyć;1;28
inwentaryzacja;1;3;inwentaryzować;1;34
modernizacja;1;23;modernizować;1;28
instalacja;3;2;instalować;1;34
gimnastyka;2;2;gimnastykować;1;36
masaż;1;8;masować;1;33
kwesta;1;8;kwestować;1;39
spływ;1;2;spływać;1;36
ekspedycja;3;2;ekspediować;1;36
dezorientacja;1;6;dezorientować;1;30
kapitulacja;1;2;kapitulować;1;31
powrót;1;8;powrócić;1;36
rozwód;1;8;rozwodzić się;2;39
separacja;2;8;separować;2;39
abdykacja;1;8;abdykować;1;39
adoracja;2;7;adorować;1;39
chrzest;1;8;chrzcić;1;39
flirt;1;9;flirtować;1;39
zaloty;1;2;zalecać się;1;29
hołd;2;8;hołdować;2;39
pochówek;1;8;pochować;1;39
promieniowanie;2;16;promieniować;2;34
wyciek;1;16;wyciekać;1;36
dystrybucja;1;2;dystrybuować;1;38
użytkowanie;2;2;użytkować;2;38
