lemma;variant;domain
′;1;20
″;1;20
°;1;20
°C;1;20
°F;1;20
℥;1;20
$;1;20
$;2;20
$;3;18
$;4;18
$;5;18
$;6;18
$;7;18
$;8;18
$;9;18
$;10;18
$;11;18
$L;1;18
$T;1;18
$T;2;18
£;1;18
1/2;1;20
1/3;1;20
1/4;1;20
180°;1;20
3D;1;3
4-hydroksyfenol;1;24
9,10-dioksoantracen;1;24
A;1;24
A;2;4
A;3;20
a;4;7
Å;5;20
A;6;6
a cappella;1;7
a-moll;1;6
A0;1;4
A1;1;4
A2;1;4
A3;1;4
A4;1;4
A5;1;4
A6;1;4
aak;1;3
aalen;1;25
abA;1;20
abak;1;3
abaka;1;3
abakan;1;3
abakus;1;3
abakus;2;3
abamper;1;20
abandon;1;2
abażur;1;3
abażurek;1;3
abC;1;20
ABC;2;6
abc;3;6
abduktor;1;5
abdykacja;1;8
abdykowanie;1;2
abecadło;1;7
abecadło;2;6
aberracja;1;8
aberracja;2;16
aberracja;3;16
aberracja chromatyczna;1;16
aberracja sferyczna;1;16
abF;1;20
abfarad;1;20
abH;1;20
abhenr;1;20
abiogeneza;1;6
abisal;1;12
abisobental;1;12
Abisynka;1;15
Abisyńczyk;1;15
abiturient;1;15
abiturientka;1;15
abkulomb;1;20
ablacja;1;16
ablacja;2;16
ablaktacja;1;2
ablaktowanie;1;2
ablegier;1;17
ablegierek;1;17
ablucja;1;8
ablucja;2;8
abnegacja;1;4
abnegat;1;15
abnegat;2;15
abnegatka;1;15
abnegatka;2;15
abolicja;1;8
abolicja;2;7
abolicjonista;1;15
abolicjonista;2;15
abolicjonistka;1;15
abolicjonistka;2;15
abolicjonizm;1;6
abolicjonizm;2;6
abom;1;20
abominacja;1;9
abonament;1;18
abonament;2;3
abonent;1;15
abonentka;1;15
aborcja;1;8
abordaż;1;8
abort;1;19
Aborygen;1;15
aborygen;2;15
Aborygenka;1;15
abrakadabra;1;4
abrakadabra;2;7
abrazja;1;19
abrewiacja;1;7
abrewiatura;1;7
abrogacja;1;2
abrogowanie;1;2
ABS;1;3
ABS;2;5
ABS;3;15
absencja;1;4
absmak;1;9
absmak;2;9
absolucja;1;6
absolut;1;26
absolutna wielkość gwiazdowa;1;20
absolutność;1;4
absolutność;2;4
absolutorium;1;8
absolutorium;2;2
absolutysta;1;15
absolutysta;2;15
absolutystyczność;1;4
absolutyzacja;1;6
absolutyzm;1;26
absolutyzm;2;6
absolutyzm;3;11
absolutyzm oświecony;1;26
absolutyzowanie;1;2
absolwent;1;15
absolwentka;1;15
absorbent;1;24
absorber;1;3
absorbowanie;1;2
absorbowanie;2;2
absorbowanie;3;23
absorpcja;1;19
absorpcja;2;19
absorpcja;3;18
abstractum;1;7
abstrahowanie;1;2
abstrahowanie;2;2
abstrakcja;1;6
abstrakcja;2;23
abstrakcja;3;6
abstrakcja;4;3
abstrakcjonista;1;15
abstrakcjonista;2;15
abstrakcjonistka;1;15
abstrakcjonizm;1;6
abstrakcyjność;1;4
abstrakcyjność;2;4
abstrakcyjność;3;4
abstrakt;1;3
abstrakt;2;7
abstynencja;1;23
abstynent;1;15
abstynentka;1;15
absurd;1;6
absurdalność;1;4
absyda;1;12
absynt;1;10
absztyfikant;1;15
abulia;1;19
abV;1;20
abW;1;20
abwat;1;20
abwolt;1;20
abysal;1;12
abysobental;1;12
abΩ;1;20
Ac;1;24
ac;2;20
aC;3;20
accusativus;1;7
aceton;1;24
acetonemia;1;23
acetyl;1;24
acetylen;1;24
acetylenek;1;24
acetylenek miedzi;1;24
acetylenek srebra;1;24
acetylocholina;1;24
Achaj;1;15
achanie;1;2
achromat;1;3
achromatopsja;1;4
acid western;1;3
action-painting;1;6
acydymetria;1;6
acyl;1;24
acyloglicerol;1;24
adadżio;1;7
adadżio;2;7
adadżio;3;7
