SUMO;liczba synsetów przypadająca na pojęcie
;1
AGM;2
Leaf;22
WeatherFront;7
Lead;2
Gymnast;2
Avocado;1
Rotavirus;1
Sugar;11
CanalLockGate;2
BangladeshItaka;1
Hose;1
MotionPicture;97
Janitor;2
Thallium;1
ExerciseCenter;5
ArmoredVehicle;5
SensoryDisability;20
Industry;96
FluidContainer;78
connects;44
OccupationalTrade;69
Henry;1
PoliceOfficer;28
Tomb;8
Steak;6
Steam;2
Krypton;1
ExtensionFn;12
Bacon;6
CorpuscularObject;116
KyrgyzstanIsom;1
Archipelago;4
LinguisticExpression;101
BoardOrBlock;72
PashtoLanguage;1
Gadolinium;1
NigerCongoLanguage;2
MarburgDisease;1
ExpressingFarewell;1
Doorman;4
VideoDisplay;1
Sermon;3
CommunicationDevice;2
UnitedStatesPostalService;2
Divorcing;2
BurundiFranc;1
JetAirplane;6
Agnosticism;1
Tape;12
Hockey;5
ChargingAFee;9
Flywheel;1
Unemployed;22
TextureAttribute;93
LatinLanguage;2
Questioning;38
Game;185
Raspberry;3
Photograph;21
ArrowIcon;2
Brown;24
Dreaming;1
TamilLanguage;1
GeopoliticalArea;84
LatvianLanguage;1
path;44
Radian;1
subsumesContentInstance;2
BarbadosDollar;1
DistilledAlcoholicBeverage;49
daughter;30
LithuanianLanguage;1
Tuesday;1
Queen;1
SpokenHumanLanguage;7
Ginger;2
Hair;79
Lettuce;1
AncientGreekLanguage;1
AircraftCarrier;10
TelephoneLine;1
Hydrogen;4
Continent;16
Sweat;1
diameter;4
Wire;4
Group;363
Giving;44
AustronesianLanguage;1
Polychromatic;23
DiaryProduct;4
Book;142
UzbekistanIsom;1
BodyVessel;61
RootVegetable;1
Piano;9
Pharmacist;10
Tent;6
VideoCassette;2
Star;36
Polonium;1
Porch;5
GraphPath;2
Potassium;1
June;1
Compass;9
Carbon;6
MechanicalJoint;4
CrayfishMeat;1
BubonicPlague;1
GermanLanguage;1
Vegetarian;6
RevolverGun;5
Requesting;98
Stressed;5
SpanishPeseta;1
Painting;6
Alveolus;1
Sourness;5
Punishing;25
Text;901
NicaraguanCordoba;1
ProjectionScreen;1
Lung;4
Colombia;1
Skateboarding;2
Protozoa;1
synonymousExternalConcept;2
Fluorine;1
AntiguaAndBarbuda;1
LengthMeasure;112
Palau;1
Corporation;265
Lip;4
Teenager;21
Banana;2
Wheel;1
IstanbulTurkey;2
describes;1
SquareMile;1
LandVehicle;33
Killing;63
PhilippinePeso;1
Aioli;1
MoroccanDirham;1
Jordan;1
Pretending;105
Atom;31
Comedian;5
Cabbage;5
Weekend;3
Eritrea;1
Blade;6
FacialExpression;1
IntentionalRelation;53
earlier;13
SolidFood;12
Gonorrhea;3
HotTemperature;6
Nepal;1
TapeCassette;3
MilitaryFront;8
MovingResidence;5
GeorgianLari;1
WheatGrain;3
Sphere;6
HormoneTSH;1
