WND;liczba synsetów przypadająca na dziedzinę
veterinary;4
golf;36
diplomacy;23
dance;171
money;776
mountaineering;17
topography;16
fishing;116
skiing;60
earth;49
geography;4488
linguistics;1362
hunting;219
electricity;145
pharmacy;347
environment;35
hockey;12
soccer;7
betting;38
finance;113
geology;1243
food;741
photography;162
entomology;1860
paranormal;11
tourism;766
furniture;505
roman_catholic;33
school;489
grammar;226
body_care;164
diving;7
university;91
philology;82
painting;180
banking;75
architecture;190
table_tennis;6
bowling;7
athletics;49
optics;180
rowing;15
art;924
jewellery;164
paleontology;4
wrestling;11
buildings;2412
home;194
surgery;8
sport;803
agriculture;352
insurance;51
transport;1375
sociology;1045
genetics;14
psychology;414
radiology;31
telegraphy;6
religion;1688
health;52
medicine;3588
electronics;347
astrology;20
racing;330
biology;19081
football;12
telecommunication;627
exchange;136
anthropology;460
graphic_arts;62
basketball;16
baseball;26
oceanography;7
post;74
electrotechnology;152
physiology;599
card;139
ethnology;14
rugby;2
geometry;224
industry;1402
numismatics;151
free_time;270
military;1587
railway;125
history;683
town_planning;1399
swimming;46
skating;35
psychological_features;1079
animal_husbandry;95
color;304
radio+tv;118
number;140
gastronomy;1474
badminton;5
astronautics;30
quality;434
law;1319
cycling;16
publishing;610
tennis;20
music;1561
social_science;9
cricket;5
gas;1
artisanship;166
folklore;33
dentistry;24
aviation;101
plants;8866
commerce;855
animals;12333
meteorology;241
sexuality;306
philately;4
pedagogy;331
mythology;150
sculpture;32
atomic_physic;61
mechanics;748
pure_science;34
occultism;42
fashion;1191
cinema;42
tax;75
telephony;38
engineering;48
nautical;733
politics;1372
theology;72
psychoanalysis;51
metrology;1343
humanities;211
biochemistry;10
fencing;24
boxing;19
administration;2602
applied_science;1
chess;115
mathematics;583
economy;1345
computer_science;480
heraldry;242
play;399
literature;1190
theatre;288
philosophy;523
hydraulics;102
anatomy;1644
statistics;5
time_period;669
astronomy;225
sub;1
archery;5
book_keeping;9
plastic_arts;20
acoustics;142
vehicles;53
volleyball;3
drawing;75
person;4196
enterprise;458
psychiatry;175
chemistry;3710
physics;910
archaeology;69
